Gemeindename,Gemeindecode,Einwohner,Veränderung in %,Bevölkerungs-dichte pro km²,Ausländer in %,0-19 Jahre,20-64 Jahre,65 Jahre und mehr,Rohe Heiratssziffer,Rohe Scheidungsziffer,Rohe Geburtenziffer,Rohe Sterbeziffer,Anzahl Privathaushalte,Durchschnittliche Haushaltsgrösse in Personen,Gesamtfläche in km² 1),Siedlungsfläche in %,Veränderung in ha,Landwirtschafts-fläche in %,Veränderung in ha,Wald und Gehölze in %,Unproduktive Fläche in %,Beschäftigte total,im 1. Sektor,im 2. Sektor,im 3. Sektor,Arbeitsstätten total,im 1. Sektor,im 2. Sektor,im 3. Sektor,Leerwohnungs-ziffer,Neu gebaute Wohnungen pro 1000 Einwohner,Sozialhilfequote,FDP 2),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,Kantonskürzel,LV95_E,LV95_N,WGS84_E,WGS84_N
Kammersrohr,2549,32,-17.9487179487,33.6842105263,3.125,12.5,62.5,25.0,0.0,0.0,33.3333333333,0.0,14,2.2857142857,0.95,3.1914893617,1,56.3829787234,-1,40.4255319149,0.0,15.0,10.0,0.0,5.0,9.0,4.0,0.0,5.0,0.0,0.0,not available,23.1481481481,24.0740740741,10.1851851852,11.1111111111,0.0,10.1851851852,0.9259259259,not available,7.4074074074,11.1111111111,SO,2611701.1460000016,1233572.0439999998,47.25295723054497,7.593203976545041
Bister,6172,33,0.0,5.6798623064,6.0606060606,9.0909090909,60.6060606061,30.303030303,0.0,0.0,0.0,0.0,16,2.0,5.81,1.2068965517,1,15.8620689655,-13,42.5862068966,40.3448275862,13.0,6.0,0.0,7.0,9.0,4.0,0.0,5.0,0.0,0.0,not available,0.0,44.7368421053,14.4736842105,26.9736842105,0.0,3.2894736842,0.9259259259,not available,10.5263157895,11.1111111111,VS,2648289.9450000003,1134692.620000001,46.36187853035922,8.066105962089456
Schelten,708,35,-14.6341463415,6.2949640288,5.7142857143,17.1428571429,65.7142857143,17.1428571429,28.1690140845,0.0,0.0,0.0,14,2.4285714286,5.56,1.9855595668,0,38.6281588448,10,59.2057761733,0.1805054152,13.0,24.0,0.0,7.0,9.0,8.0,0.0,5.0,0.0,0.0,not available,0.0,11.7647058824,6.6176470588,35.7843137255,0.0,5.8823529412,0.0,0.4901960784,30.8823529412,0.0,BE,2608514.796,1242354.1339999996,47.331995894096465,7.551276321411849
Berken,972,41,-16.3265306122,29.4964028777,2.4390243902,2.4390243902,65.8536585366,31.7073170732,0.0,0.0,0.0,0.0,21,1.9523809524,1.39,11.4285714286,-4,52.8571428571,3,30.0,5.7142857143,46.0,15.0,8.0,23.0,9.0,5.0,0.0,5.0,0.0,0.0,not available,2.5297619048,0.0,3.869047619,78.2738095238,0.0,4.3154761905,7.2916666667,0.0,0.5952380952,0.0,BE,2620245.6950000003,1230572.8480000012,47.22577489626088,7.705945691386857
Rebévelier,715,42,-10.6382978723,11.8309859155,2.380952381,26.1904761905,47.619047619,26.1904761905,24.0963855422,0.0,0.0,0.0,16,2.625,3.55,0.5649717514,1,59.8870056497,2,39.5480225989,0.0,46.0,23.0,0.0,23.0,9.0,7.0,0.0,5.0,0.0,0.0,not available,0.0,8.0128205128,5.4487179487,47.2756410256,7.0512820513,0.0,0.3205128205,3.5256410256,8.4935897436,3.5256410256,BE,2581390.0489999987,1237837.1810000015,47.29115789248671,7.192604941348135
Cerentino,5309,45,-25.0,2.2388059701,6.6666666667,8.8888888889,53.3333333333,37.7777777778,0.0,0.0,0.0,0.0,26,1.7307692308,20.1,1.3432835821,1,4.9751243781,-37,71.7412935323,21.9402985075,25.0,10.0,8.0,7.0,9.0,4.0,0.0,5.0,1.2820512821,0.0,not available,19.4805194805,13.6363636364,18.1818181818,23.3766233766,7.0512820513,0.0,0.3205128205,0.0,7.7922077922,3.8961038961,TI,2685435.170000002,1128852.1909999996,46.30564673737178,8.547635959400338
Linescio,5315,47,-2.0833333333,7.0570570571,10.6382978723,2.1276595745,70.2127659574,27.6595744681,0.0,0.0,0.0,0.0,26,1.6538461538,6.66,1.5151515152,-3,2.7272727273,-12,70.1515151515,25.6060606061,25.0,10.0,0.0,10.0,9.0,4.0,0.0,5.0,1.5037593985,0.0,not available,53.125,4.375,3.125,7.5,7.0512820513,0.0,0.3205128205,5.0,16.875,10.0,TI,2688163.079999998,1129171.460000001,46.308166105754744,8.583101159055833
Bosco/Gurin,5304,49,2.0833333333,2.2262607905,8.1632653061,6.1224489796,63.2653061224,30.612244898,0.0,0.0,0.0,21.0526315789,28,1.75,22.01,0.6357856494,5,24.3869209809,-80,30.881017257,44.0962761126,69.0,11.0,13.0,45.0,22.0,4.0,4.0,14.0,0.9803921569,0.0,not available,22.5609756098,15.243902439,14.6341463415,13.4146341463,7.0512820513,4.8780487805,0.3205128205,4.8780487805,9.1463414634,1.2195121951,TI,2681098.908,1130027.4090000018,46.31675490423424,8.491560630060945
Meienried,389,50,-5.6603773585,76.9230769231,2.0,16.0,64.0,20.0,36.6972477064,0.0,0.0,0.0,23,2.1739130435,0.65,3.0769230769,0,72.3076923077,0,13.8461538462,10.7692307692,69.0,9.0,13.0,4.0,22.0,4.0,4.0,4.0,4.1666666667,0.0,not available,22.5609756098,15.243902439,14.6341463415,13.4146341463,7.0512820513,4.8780487805,0.3205128205,4.8780487805,9.1463414634,1.2195121951,BE,2592622.045000002,1220860.375,47.1386800361007,7.341371503824746
Campo (Vallemaggia),5307,51,4.0816326531,1.1775571462,17.6470588235,3.9215686275,56.862745098,39.2156862745,0.0,38.4615384615,0.0,57.6923076923,32,1.53125,43.31,0.8062658374,8,8.5003455425,-160,50.0115180834,40.6818705367,37.0,9.0,14.0,14.0,19.0,4.0,7.0,8.0,0.6802721088,0.0,not available,9.2592592593,14.8148148148,5.0925925926,16.2037037037,7.0512820513,0.0,0.3205128205,0.0,33.7962962963,17.1296296296,TI,2684179.169,1127222.2289999984,46.29114413215553,8.53103999773406
