Gemeindename,Gemeindecode,Einwohner,Veränderung in %,Bevölkerungs-dichte pro km²,Ausländer in %,0-19 Jahre,20-64 Jahre,65 Jahre und mehr,Rohe Heiratssziffer,Rohe Scheidungsziffer,Rohe Geburtenziffer,Rohe Sterbeziffer,Anzahl Privathaushalte,Durchschnittliche Haushaltsgrösse in Personen,Gesamtfläche in km² 1),Siedlungsfläche in %,Veränderung in ha,Landwirtschafts-fläche in %,Veränderung in ha.1,Wald und Gehölze in %,Unproduktive Fläche in %,Beschäftigte total,im 1. Sektor,im 2. Sektor,im 3. Sektor,Arbeitsstätten total,im 1. Sektor.1,im 2. Sektor.1,im 3. Sektor.1,Leerwohnungs-ziffer,Neu gebaute Wohnungen pro 1000 Einwohner,Sozialhilfequote,FDP 2),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,Kantonskürzel,LV95_E,LV95_N,WGS84_E,WGS84_N,Linksparteien,Mitteparteien,Rechtsparteien,Kantonsname,Region,Altenquotient,Jugendquotient,Abhaengigenquotient,Agglomerationen 2012,Charakter
Kammersrohr,2549,32,-17.9487179487,33.6842105263,3.125,12.5,62.5,25.0,0.0,0.0,33.3333333333,0.0,14,2.2857142857,0.95,3.1914893617,1,56.3829787234,-1,40.4255319149,0.0,15.0,10.0,0.0,5.0,9.0,4.0,0.0,5.0,0.0,0.0,3.9,23.1481481481,24.074074074099997,10.1851851852,11.1111111111,0.0,10.1851851852,0.9259259259,0.4901960784,7.4074074074,11.1111111111,SO,2611701.1460000016,1233572.0439999998,47.252957230544965,7.59320397654504,18.082788671,35.1851851852,45.3703703703,Solothurn,EspaceMittelland,0.4,0.2,0.6000000000000001,0.0,Land
Bister,6172,33,0.0,5.6798623064,6.0606060606,9.0909090909,60.606060606099994,30.303030303000003,0.0,0.0,0.0,0.0,16,2.0,5.81,1.2068965517,1,15.862068965499999,-13,42.5862068966,40.3448275862,13.0,6.0,0.0,7.0,9.0,4.0,0.0,5.0,0.0,0.0,3.9,0.0,44.7368421053,14.4736842105,26.973684210500004,0.0,3.2894736842000003,0.9259259259,0.4901960784,10.5263157895,11.1111111111,VS,2648289.9450000003,1134692.620000001,46.36187853035922,8.066105962089456,25.4901960784,48.9522417154,38.084795321600005,Valais,Genferseeregion,0.4999999999991751,0.14999999999975253,0.6499999999989277,6002.0,Agglomeration
Schelten,708,35,-14.634146341500001,6.2949640288,5.7142857143,17.1428571429,65.7142857143,17.1428571429,28.1690140845,0.0,0.0,0.0,14,2.4285714286,5.56,1.9855595668000001,0,38.6281588448,10,59.2057761733,0.1805054152,13.0,24.0,0.0,7.0,9.0,8.0,0.0,5.0,0.0,0.0,3.9,0.0,11.7647058824,6.6176470588,35.7843137255,0.0,5.8823529412,0.0,0.4901960784,30.8823529412,0.0,BE,2608514.796,1242354.1339999996,47.33199589409646,7.551276321411848,37.990196078400004,17.6470588236,35.7843137255,Bern,EspaceMittelland,0.2608695652179867,0.2608695652179867,0.5217391304359734,0.0,Land
Berken,972,41,-16.3265306122,29.4964028777,2.4390243902,2.4390243902,65.8536585366,31.707317073200002,0.0,0.0,0.0,0.0,21,1.9523809524000002,1.39,11.4285714286,-4,52.8571428571,3,30.0,5.7142857143,46.0,15.0,8.0,23.0,9.0,5.0,0.0,5.0,0.0,0.0,3.9,2.5297619048,0.0,3.869047619,78.2738095238,0.0,4.3154761905,7.291666666699999,0.0,0.5952380952,0.0,BE,2620245.6950000003,1230572.8480000012,47.22577489626088,7.705945691386857,4.4642857142,11.6071428572,80.8035714286,Bern,EspaceMittelland,0.481481481481819,0.037037037036362144,0.5185185185181812,0.0,Land
Rebévelier,715,42,-10.6382978723,11.8309859155,2.3809523809999997,26.190476190500004,47.61904761899999,26.190476190500004,24.096385542199997,0.0,0.0,0.0,16,2.625,3.55,0.5649717514,1,59.8870056497,2,39.5480225989,0.0,46.0,23.0,0.0,23.0,9.0,7.0,0.0,5.0,0.0,0.0,3.9,0.0,8.0128205128,5.4487179487,47.2756410256,7.0512820513,0.0,0.3205128205,3.5256410256,8.4935897436,3.5256410256,BE,2581390.0489999987,1237837.1810000015,47.291157892486716,7.192604941348134,17.4679487179,15.3846153846,50.801282051200005,Bern,EspaceMittelland,0.5500000000010502,0.5500000000010502,1.1000000000021004,0.0,Land
Cerentino,5309,45,-25.0,2.2388059701,6.666666666699999,8.8888888889,53.3333333333,37.777777777800004,0.0,0.0,0.0,0.0,26,1.7307692308000002,20.1,1.3432835821,1,4.9751243781,-37,71.74129353229999,21.9402985075,25.0,10.0,8.0,7.0,9.0,4.0,0.0,5.0,1.2820512820999999,0.0,3.9,19.4805194805,13.6363636364,18.1818181818,23.376623376599998,7.0512820513,0.0,0.3205128205,0.0,7.7922077922,3.8961038961,TI,2685435.170000002,1128852.1909999996,46.30564673737178,8.547635959400338,25.974025974,21.0081585082,46.7532467532,Ticino,Tessin,0.7083333333341928,0.16666666666697919,0.875000000001172,0.0,Land
Linescio,5315,47,-2.0833333333,7.057057057100001,10.6382978723,2.1276595745,70.2127659574,27.6595744681,0.0,0.0,0.0,0.0,26,1.6538461538,6.66,1.5151515152000001,-3,2.7272727273000004,-12,70.15151515149999,25.6060606061,25.0,10.0,0.0,10.0,9.0,4.0,0.0,5.0,1.5037593985,0.0,3.9,53.125,4.375,3.125,7.5,7.0512820513,0.0,0.3205128205,5.0,16.875,10.0,TI,2688163.079999998,1129171.460000001,46.30816610575474,8.583101159055833,25.0,11.746794871799999,70.625,Ticino,Tessin,0.3939393939398687,0.030303030303505053,0.4242424242433738,0.0,Land
Bosco/Gurin,5304,49,2.0833333333,2.2262607905,8.1632653061,6.122448979600001,63.2653061224,30.612244898,0.0,0.0,0.0,21.0526315789,28,1.75,22.01,0.6357856493999999,5,24.3869209809,-80,30.881017256999996,44.0962761126,69.0,11.0,13.0,45.0,22.0,4.0,4.0,14.0,0.9803921568999999,0.0,3.9,22.5609756098,15.243902439000001,14.634146341500001,13.414634146300001,7.0512820513,4.8780487805,0.3205128205,4.8780487805,9.1463414634,1.2195121951,TI,2681098.9080000003,1130027.4090000018,46.31675490423424,8.49156063006095,28.6585365854,27.493746091300004,37.1951219512,Ticino,Tessin,0.4838709677429553,0.09677419354859106,0.5806451612915463,0.0,Land
Meienried,389,50,-5.6603773585,76.9230769231,2.0,16.0,64.0,20.0,36.6972477064,0.0,0.0,0.0,23,2.1739130435,0.65,3.0769230769,0,72.30769230770001,0,13.846153846199998,10.7692307692,69.0,9.0,13.0,4.0,22.0,4.0,4.0,4.0,4.1666666667,0.0,3.9,22.5609756098,15.243902439000001,14.634146341500001,13.414634146300001,7.0512820513,4.8780487805,0.3205128205,4.8780487805,9.1463414634,1.2195121951,BE,2592622.045000002,1220860.375,47.13868003610071,7.341371503824747,28.6585365854,27.493746091300004,37.1951219512,Bern,EspaceMittelland,0.3125,0.25,0.5625,0.0,Land
Campo (Vallemaggia),5307,51,4.0816326531,1.1775571462,17.6470588235,3.9215686275,56.862745098000005,39.2156862745,0.0,38.4615384615,0.0,57.6923076923,32,1.53125,43.31,0.8062658373999999,8,8.5003455425,-160,50.0115180834,40.6818705367,37.0,9.0,14.0,14.0,19.0,4.0,7.0,8.0,0.6802721088,0.0,3.9,9.2592592593,14.8148148148,5.0925925926,16.2037037037,7.0512820513,0.0,0.3205128205,0.0,33.7962962963,17.1296296296,TI,2684179.169,1127222.2289999984,46.29114413215553,8.531039997734059,38.8888888889,22.1866096866,42.5925925926,Ticino,Tessin,0.6896551724140962,0.06896551724228894,0.7586206896563852,0.0,Land
