Ortschaftsname,Gemeindecode,Einwohner,Veränderung in %,Bevölkerungs-dichte pro km²,Ausländer in %,0-19 Jahre,20-64 Jahre,65 Jahre und mehr,Rohe Heiratssziffer,Rohe Scheidungsziffer,Rohe Geburtenziffer,Rohe Sterbeziffer,Anzahl Privathaushalte,Durchschnittliche Haushaltsgrösse in Personen,Gesamtfläche in km² 1),Siedlungsfläche in %,Veränderung in ha,Landwirtschafts-fläche in %,Veränderung in ha,Wald und Gehölze in %,Unproduktive Fläche in %,Beschäftigte total,im 1. Sektor,im 2. Sektor,im 3. Sektor,Arbeitsstätten total,im 1. Sektor,im 2. Sektor,im 3. Sektor,Leerwohnungs-ziffer,Neu gebaute Wohnungen pro 1000 Einwohner,Sozialhilfequote,FDP 2),CVP,SP,SVP,EVP/CSP,GLP,BDP,PdA/Sol.,GPS,Kleine Rechtsparteien,Berichtsjahr,PLZ,Gemeindename,Kantonskürzel,LV95_E,LV95_N,WGS84_E,WGS84_N
Aeugst am Albis,1,1981,8.6074561404,250.4424778761,14.1847551742,19.7879858657,62.1908127208,18.0212014134,7.0653545294,2.0186727227,9.0840272521,6.5606863487,848,2.3242924528,7.91,12.6582278481,21,51.1392405063,-22,30.8860759494,5.3164556962,442,39,25,378,141,15,16,110,5.2915766739,13.9103554869,1.01,16.4210448751,2.4979736202,11.5651020559,30.3809593987,3.2274703412,14.3172942303,1.2637241176,0.1621103824,15.0504752782,3.8206469678,2021,8914,Aeugst am Albis,ZH,2679435.8170000017,1235653.184999999,47.267004385262865,8.488313285337195
Zwillikon,2,12303,10.9277792805,1161.7563739377,28.7003169959,20.1658132163,61.6678858815,18.1663009022,5.5437795532,1.7935757378,12.8811348443,9.2124571988,5412,2.2259793052,10.59,30.6742640076,92,40.1709401709,-93,28.2051282051,0.9496676163,6920,47,1307,5566,995,23,134,838,1.0055478502,3.7872550634,3.02,13.3854374655,4.5353414342,14.6452545306,30.3069199612,6.6185559169,12.6666286345,2.0014452241,0.1987183144,12.5905642079,1.5555175233,2021,8909,Affoltern am Albis,ZH,2675104.5190000013,1237890.4880000018,47.287633087460776,8.431458619335615
Affoltern am Albis,2,12303,10.9277792805,1161.7563739377,28.7003169959,20.1658132163,61.6678858815,18.1663009022,5.5437795532,1.7935757378,12.8811348443,9.2124571988,5412,2.2259793052,10.59,30.6742640076,92,40.1709401709,-93,28.2051282051,0.9496676163,6920,47,1307,5566,995,23,134,838,1.0055478502,3.7872550634,3.02,13.3854374655,4.5353414342,14.6452545306,30.3069199612,6.6185559169,12.6666286345,2.0014452241,0.1987183144,12.5905642079,1.5555175233,2021,8910,Affoltern am Albis,ZH,2676439.357999999,1236966.370999999,47.27916857524028,8.448945112864612
Bonstetten,3,5572,8.0054274084,749.932705249,16.5649676956,23.6360373295,59.8348887294,16.5290739411,4.3165467626,1.7985611511,9.8920863309,4.3165467626,2327,2.3841856468,7.43,15.4569892473,24,55.5107526882,-21,28.6290322581,0.4032258065,1014,34,111,869,281,14,26,241,1.1717171717,0.1814223512,1.51,15.3549839136,3.8679612771,16.742890944,26.1163129572,4.1940184381,16.2379351637,1.2840304128,0.1760131577,12.3685311558,1.3850215688,2021,8906,Bonstetten,ZH,2677798.5709999986,1241024.8429999985,47.315510417884624,8.467611445296622
Hausen am Albis,4,3751,11.6369047619,275.8088235294,16.0223940283,22.1807517995,59.8240469208,17.9952012797,3.2206119163,1.6103059581,8.5882984434,3.757380569,1552,2.4007731959,13.6,12.6925898753,33,55.9060895084,-31,28.8334556126,2.5678650037,1021,93,136,792,271,36,38,197,0.6300114548,3.0021834061,1.19,11.1351626663,3.9345514739,13.7115086692,33.1847796099,4.0597610407,12.4169690796,1.6107468008,0.1931198404,16.7441268224,1.6107468008,2021,8915,Hausen am Albis,ZH,2682996.333999999,1232961.6499999985,47.24235959988429,8.534860104009926
Ebertswil,4,3751,11.6369047619,275.8088235294,16.0223940283,22.1807517995,59.8240469208,17.9952012797,3.2206119163,1.6103059581,8.5882984434,3.757380569,1552,2.4007731959,13.6,12.6925898753,33,55.9060895084,-31,28.8334556126,2.5678650037,1021,93,136,792,271,36,38,197,0.6300114548,3.0021834061,1.19,11.1351626663,3.9345514739,13.7115086692,33.1847796099,4.0597610407,12.4169690796,1.6107468008,0.1931198404,16.7441268224,1.6107468008,2021,8925,Hausen am Albis,ZH,2684168.704,1231176.6389999986,47.22615738088643,8.550009060918034
Hedingen,5,3778,10.7917888563,578.5604900459,16.4107993647,21.6251985177,61.6463737427,16.7284277395,3.7273695421,2.1299254526,7.4547390841,6.3897763578,1580,2.3784810127,6.53,19.8170731707,44,46.3414634146,-43,33.2317073171,0.6097560976,1478,29,679,770,201,11,26,164,0.9626955475,3.2485110991,1.47,13.9908978419,3.8736603679,16.7383234412,26.6017910698,3.7268513664,16.4153436379,1.8812524905,0.1824626161,12.3487342967,2.1706759506,2021,8908,Hedingen,ZH,2676518.511,1239054.3000000007,47.29793768502231,8.450346932503283
Kappel am Albis,6,1221,33.0065359477,154.1666666667,17.5266175266,24.9795249795,61.1793611794,13.8411138411,3.3641715728,0.0,10.0925147183,5.0462573591,493,2.4665314402,7.92,8.3120204604,12,69.9488491049,-12,20.5882352941,1.1508951407,319,56,81,182,101,21,24,56,2.1778584392,37.3333333333,0.69,10.8628896054,5.4966989099,9.0741593736,43.6358053125,4.5140488254,10.8705665592,1.2666973745,0.0460617227,10.1796407186,1.6275142024,2021,8926,Kappel am Albis,ZH,2682261.5689999983,1231284.4239999987,47.2273669600035,8.524849799993746
Knonau,7,2378,32.1111111111,367.542503864,18.2926829268,24.3481917578,60.9756097561,14.6761984861,3.3677120606,0.8419280152,12.6289202273,8.4192801515,927,2.5587918015,6.47,18.0277349769,19,62.249614792,-21,17.1032357473,2.6194144838,566,55,108,403,133,24,15,94,0.5882352941,5.6399132321,0.84,9.2047952877,5.3428464761,11.4323640436,32.268635666,6.9067075953,17.3227693201,2.6672750653,0.0954079728,11.349400589,2.2026797196,2021,8934,Knonau,ZH,2677402.530000001,1230821.8949999996,47.22379409999039,8.460616615241968
Maschwanden,8,645,4.7077922078,137.526652452,12.8682170543,22.015503876,59.5348837209,18.4496124031,3.0745580323,0.0,6.1491160646,7.6863950807,274,2.3540145985,4.69,8.9743589744,-5,59.615384615400004,0,23.7179487179,7.6923076923,175,49,49,77,67,18,7,42,2.9900332226,0.0,0.0,3.3391915641,2.5550899013,16.9392997161,44.5180478572,3.4067865351,12.2887657158,2.9336217385,0.0675949709,10.0175746924,2.9876977153,2021,8933,Maschwanden,ZH,2674785.6380000003,1232061.1039999984,47.235240771581296,8.426273936176774
